,Code,Length,Gear,Species,Group,Ref,Absolute,Abs.l.95,Abs.u.95,Efficiency,Eff.l.95,Eff.u.95
1,GRP1,0,GOV,GRP1,GRP1,no,NA,NA,NA,0,NA,NA
2,GRP1,1,GOV,GRP1,GRP1,no,NA,NA,NA,0.005724347,NA,NA
3,GRP1,2,GOV,GRP1,GRP1,no,NA,NA,NA,0.011448695,NA,NA
4,GRP1,3,GOV,GRP1,GRP1,no,NA,NA,NA,0.017173042,NA,NA
5,GRP1,4,GOV,GRP1,GRP1,no,NA,NA,NA,0.022897389,NA,NA
6,GRP1,5,GOV,GRP1,GRP1,Ref,0.042725674,NA,NA,0.028621736,0.007461076,0.049782397
7,GRP1,6,GOV,GRP1,GRP1,no,NA,NA,NA,0.028230538,0.007636633,0.048824443
8,GRP1,7,GOV,GRP1,GRP1,no,NA,NA,NA,0.027839339,0.00779788,0.047880798
9,GRP1,8,GOV,GRP1,GRP1,no,NA,NA,NA,0.02744814,0.0079436,0.04695268
10,GRP1,9,GOV,GRP1,GRP1,no,NA,NA,NA,0.027056937,0.008072478,0.046041396
11,GRP1,10,GOV,GRP1,GRP1,Ref,0.066319881,NA,NA,0.026665722,0.008183097,0.045148348
12,GRP1,11,GOV,GRP1,GRP1,no,NA,NA,NA,0.026274488,0.00827394,0.044275036
13,GRP1,12,GOV,GRP1,GRP1,no,NA,NA,NA,0.025883226,0.008343394,0.043423059
14,GRP1,13,GOV,GRP1,GRP1,no,NA,NA,NA,0.02549193,0.008389744,0.042594115
15,GRP1,14,GOV,GRP1,GRP1,no,NA,NA,NA,0.025100599,0.008411182,0.041790016
16,GRP1,15,GOV,GRP1,GRP1,Ref,0.000140295,NA,NA,0.024709243,0.008405817,0.041012668
17,GRP1,16,GOV,GRP1,GRP1,no,NA,NA,NA,0.02431787,0.008371711,0.040264029
18,GRP1,17,GOV,GRP1,GRP1,no,NA,NA,NA,0.02392649,0.008306905,0.039546075
19,GRP1,18,GOV,GRP1,GRP1,no,NA,NA,NA,0.023535111,0.008209453,0.03886077
20,GRP1,19,GOV,GRP1,GRP1,no,NA,NA,NA,0.02314374,0.008077452,0.038210028
21,GRP1,20,GOV,GRP1,GRP1,Ref,0.005061188,NA,NA,0.02275238,0.007909092,0.037595668
22,GRP1,21,GOV,GRP1,GRP1,no,NA,NA,NA,0.022361034,0.007702715,0.037019352
23,GRP1,22,GOV,GRP1,GRP1,no,NA,NA,NA,0.021969704,0.007456875,0.036482533
24,GRP1,23,GOV,GRP1,GRP1,no,NA,NA,NA,0.021578394,0.007170389,0.0359864
25,GRP1,24,GOV,GRP1,GRP1,no,NA,NA,NA,0.021187107,0.006842368,0.035531846
26,GRP1,25,GOV,GRP1,GRP1,Ref,0.010587659,NA,NA,0.020795844,0.006472257,0.035119431
27,GRP1,26,GOV,GRP1,GRP1,no,NA,NA,NA,0.020404608,0.006059869,0.034749347
28,GRP1,27,GOV,GRP1,GRP1,no,NA,NA,NA,0.020013401,0.005605395,0.034421406
29,GRP1,28,GOV,GRP1,GRP1,no,NA,NA,NA,0.019622224,0.005109396,0.034135053
30,GRP1,29,GOV,GRP1,GRP1,no,NA,NA,NA,0.01923108,0.004572761,0.033889399
31,GRP1,30,GOV,GRP1,GRP1,Ref,0.013840265,NA,NA,0.018839968,0.00399668,0.033683256
32,GRP1,31,GOV,GRP1,GRP1,no,NA,NA,NA,0.018448888,0.0033826,0.033515176
33,GRP1,32,GOV,GRP1,GRP1,no,NA,NA,NA,0.01805784,0.002732182,0.033383498
34,GRP1,33,GOV,GRP1,GRP1,no,NA,NA,NA,0.017666824,0.002047239,0.033286409
35,GRP1,34,GOV,GRP1,GRP1,no,NA,NA,NA,0.017275842,0.001329683,0.033222001
36,GRP1,35,GOV,GRP1,GRP1,Ref,0.016616087,NA,NA,0.016884896,0.00058147,0.033188322
37,GRP1,36,GOV,GRP1,GRP1,no,NA,NA,NA,0.016493989,-0.000195428,0.033183406
38,GRP1,37,GOV,GRP1,GRP1,no,NA,NA,NA,0.016103124,-0.000999061,0.03320531
39,GRP1,38,GOV,GRP1,GRP1,no,NA,NA,NA,0.015712304,-0.001827529,0.033252136
40,GRP1,39,GOV,GRP1,GRP1,no,NA,NA,NA,0.015321525,-0.002679023,0.033322072
41,GRP1,40,GOV,GRP1,GRP1,Ref,0.011086956,NA,NA,0.014930778,-0.003551848,0.033413403
42,GRP1,41,GOV,GRP1,GRP1,no,NA,NA,NA,0.014540054,-0.004444405,0.033524513
43,GRP1,42,GOV,GRP1,GRP1,no,NA,NA,NA,0.014149344,-0.005355195,0.033653884
44,GRP1,43,GOV,GRP1,GRP1,no,NA,NA,NA,0.013758639,-0.00628282,0.033800099
45,GRP1,44,GOV,GRP1,GRP1,no,NA,NA,NA,0.013367934,-0.00722597,0.033961839
46,GRP1,45,GOV,GRP1,GRP1,no,NA,NA,NA,0.01297723,-0.008183431,0.03413789
47,GRP1,46,GOV,GRP1,GRP1,no,NA,NA,NA,0.01297723,-0.008183431,0.03413789
48,GRP1,47,GOV,GRP1,GRP1,no,NA,NA,NA,0.01297723,-0.008183431,0.03413789
49,GRP1,48,GOV,GRP1,GRP1,no,NA,NA,NA,0.01297723,-0.008183431,0.03413789
