"","HaulID","Survey_Acronym.x","Ship","GearType","Gear","YearShot","MonthShot","DayShot","TimeShot","HaulDur_min","ShootLat_degdec","ShootLong_degdec","ICESStSq","SurvStratum","Depth_m","Distance_km","WingSpread_m","DoorSpread_m","NetOpen_m","WingSwpArea_sqkm","WingSwpVol_CorF","DoorSwptArea_CorF","DoorSwptVol_CorF","Survey_Acronym.y","SpeciesSciName","Aphia_Code","FishLength_cm","Number","DensAbund_N_Sqkm","DensBiom_kg_Sqkm","DensAbund_N_Sqkm_RAW","CommonName","WalkerCoeffApplied"
"1","CSBBFraOT4/THA2/2003/101","CSBBFraOT4","THA2","OT","GOV",2003,11,13,1308,29,48.684,-9.2036,"2.60E+01","5",180,3.856706613,20,99,4.5,0.077134132,222.2222222,0.202020202,44.89337823,"CSBBFraOT4","Callionymus lyra",126792,"16-34",1,24.4053945410327,1.139521345,12.96442924,"Common dragonet",TRUE
"2","CSBBFraOT4/THA2/2003/116","CSBBFraOT4","THA2","OT","GOV",2003,11,17,1626,30,50.7166,-10.7637,"30D9","5",166,3.710293,18,97,4.1,0.06678528,243.9024,0.185567,45.26025,"CSBBFraOT4","Callionymus lyra",126792,"16-34",3,86.8080371111155,2.5455043,44.92008,"Common dragonet",TRUE
"3","CSBBFraOT4/THA2/2003/120","CSBBFraOT4","THA2","OT","GOV",2003,11,18,1629,30,50.7467,-9.9512,"3.00E+01","4",118,3.603492,18,94,4.3,0.06486285,232.5581,0.1914894,44.53241,"CSBBFraOT4","Callionymus lyra",126792,"16-34",31,914.45735671497,32.8747167,477.93152,"Common dragonet",TRUE
"4","CSBBFraOT4/THA2/2003/121","CSBBFraOT4","THA2","OT","GOV",2003,11,19,757,30,50.648,-9.6209,"3.00E+01","4",128,3.316693,18,96,4.7,0.05970047,212.766,0.1875,39.89362,"CSBBFraOT4","Callionymus lyra",126792,"16-34",10,318.123892689097,13.113173,167.50287,"Common dragonet",TRUE
"5","CSBBFraOT4/THA2/2003/125","CSBBFraOT4","THA2","OT","GOV",2003,11,20,753,30,51.2519,-9.4691,"3.10E+01","3",95,3.767898727,20,78,4.2,0.075357975,238.0952381,0.256410256,61.05006105,"CSBBFraOT4","Callionymus lyra",126792,"16-34",55,1409.77639706467,41.977518376,729.84976482,"Common dragonet",TRUE
"6","CSBBFraOT4/THA2/2003/126","CSBBFraOT4","THA2","OT","GOV",2003,11,20,1022,30,51.1407,-8.9444,"3.10E+02","3",109,3.65656909,20,81,4.2,0.073131382,238.0952381,0.24691358,58.78894768,"CSBBFraOT4","Callionymus lyra",126792,"16-34",8,212.269638319483,5.674173439,109.39216248,"Common dragonet",TRUE
"7","CSBBFraOT4/THA2/2003/127","CSBBFraOT4","THA2","OT","GOV",2003,11,20,1411,30,51.5232,-8.3608,"3.20E+02","3",86,3.818503702,19,75,4.2,0.07255157,238.0952381,0.253333333,60.31746032,"CSBBFraOT4","Callionymus lyra",126792,"16-34",25,672.784489057432,15.338558456,344.58247947,"Common dragonet",TRUE
"8","CSBBFraOT4/THA2/2003/128","CSBBFraOT4","THA2","OT","GOV",2003,11,20,1620,29,51.689,-8.0297,"3.20E+02","2",70,3.559649508,18,72,4.9,0.064073691,204.0816327,0.25,51.02040816,"CSBBFraOT4","Callionymus lyra",126792,"16-34",17,519.470793878549,10.943736489,265.3195047,"Common dragonet",TRUE
"9","CSBBFraOT4/THA2/2003/131","CSBBFraOT4","THA2","OT","GOV",2003,11,21,1307,30,51.7836,-6.703,"3.20E+04","2",70,3.427161247,18,69,4.5,0.061688902,222.2222222,0.260869565,57.97101449,"CSBBFraOT4","Callionymus lyra",126792,"16-34",20,632.91272625406,14.501089421,324.20742156,"Common dragonet",TRUE
"10","CSBBFraOT4/THA2/2003/132","CSBBFraOT4","THA2","OT","GOV",2003,11,21,1439,29,51.7788,-6.5384,"3.20E+04","2",70,3.680844073,18,69,4.5,0.066255193,222.2222222,0.260869565,57.97101449,"CSBBFraOT4","Callionymus lyra",126792,"16-34",8,237.069835740803,4.573051047,120.74525178,"Common dragonet",TRUE
