"","HaulID","Survey_Acronym.x","Ship","GearType","Gear","YearShot","MonthShot","DayShot","TimeShot","HaulDur_min","ShootLat_degdec","ShootLong_degdec","ICESStSq","SurvStratum","Depth_m","Distance_km","WingSpread_m","DoorSpread_m","NetOpen_m","WingSwpArea_sqkm","WingSwpVol_CorF","DoorSwptArea_CorF","DoorSwptVol_CorF","Survey_Acronym.y","SpeciesSciName","Aphia_Code","FishLength_cm","Number","DensAbund_N_Sqkm","DensBiom_kg_Sqkm","DensAbund_N_Sqkm_RAW","CommonName","WalkerCoeffApplied"
"1","CSBBFraOT4/THA2/2003/101","CSBBFraOT4","THA2","OT","GOV",2003,11,13,1308,29,48.684,-9.2036,"2.60E+01","5",180,3.856706613,20,99,4.5,0.077134132,222.2222222,0.202020202,44.89337823,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",22,460.401967781897,58.69015428,285.21744333,"Hake",TRUE
"2","CSBBFraOT4/THA2/2003/102","CSBBFraOT4","THA2","OT","GOV",2003,11,13,1544,30,48.9652,-9.1826,"2.60E+01","4",155,3.734581343,20,90,4.7,0.074691627,212.7659574,0.222222222,47.28132388,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",21,495.000186649439,32.342481576,281.15601278,"Hake",TRUE
"3","CSBBFraOT4/THA2/2003/103","CSBBFraOT4","THA2","OT","GOV",2003,11,14,741,31,49.0901,-9.7446,"2.70E+01","4",158,3.496153771,20,98,4.5,0.069923075,222.2222222,0.204081633,45.35147392,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",63,1709.01751068643,42.549957197,900.99011825,"Hake",TRUE
"4","CSBBFraOT4/THA2/2003/104","CSBBFraOT4","THA2","OT","GOV",2003,11,14,1310,30,49.333,-10.5144,"27D9","4",144,3.64776,20,95,4.6,0.0729552,217.3913,0.2105263,45.76659,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",75,1902.41643521428,77.71022383,1028.02813,"Hake",TRUE
"5","CSBBFraOT4/THA2/2003/105","CSBBFraOT4","THA2","OT","GOV",2003,11,14,1603,29,49.1018,-10.7995,"27D9","4",160,3.616299372,19,99,3.71563616,0.068709688,269.1329174,0.191919192,51.65177204,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",45,1133.52792852461,101.603652493,654.92947597,"Hake",TRUE
"6","CSBBFraOT4/THA2/2003/108","CSBBFraOT4","THA2","OT","GOV",2003,11,15,1353,30,49.5195,-10.8614,"28D9","5",159,3.581957,19,97,3.717063,0.06805718,269.0296,0.1958763,52.69652,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",57,1566.30305353954,55.895425,837.53106,"Hake",TRUE
"7","CSBBFraOT4/THA2/2003/109","CSBBFraOT4","THA2","OT","GOV",2003,11,15,1522,29,49.543,-10.7626,"28D9","4",149,3.529515,18,96,4.8,0.06353127,208.3333,0.1875,39.0625,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",70,2023.8955781494,89.1801645,1101.8196,"Hake",TRUE
"8","CSBBFraOT4/THA2/2003/110","CSBBFraOT4","THA2","OT","GOV",2003,11,16,748,31,49.7224,-10.5003,"28D9","4",136,3.491787,19,96,4.8,0.06634395,208.3333,0.1979167,41.23264,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",153,4415.71578310411,88.7678278,2306.16357,"Hake",TRUE
"9","CSBBFraOT4/THA2/2003/111","CSBBFraOT4","THA2","OT","GOV",2003,11,16,1005,29,49.9161,-10.5885,"28D9","4",146,3.603339,18,96,3.736534,0.0648601,267.6277,0.1875,50.18019,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",102,2899.03107067681,120.55300133,1572.6156,"Hake",TRUE
"10","CSBBFraOT4/THA2/2003/116","CSBBFraOT4","THA2","OT","GOV",2003,11,17,1626,30,50.7166,-10.7637,"30D9","5",166,3.710293,18,97,4.1,0.06678528,243.9024,0.185567,45.26025,"CSBBFraOT4","Merluccius merluccius",126484,"1-43",38,1044.88132495863,53.062231,568.98768,"Hake",TRUE
