"","HaulID","Survey_Acronym.x","Ship","GearType","Gear","YearShot","MonthShot","DayShot","TimeShot","HaulDur_min","ShootLat_degdec","ShootLong_degdec","ICESStSq","SurvStratum","Depth_m","Distance_km","WingSpread_m","DoorSpread_m","NetOpen_m","WingSwpArea_sqkm","WingSwpVol_CorF","DoorSwptArea_CorF","DoorSwptVol_CorF","Survey_Acronym.y","SpeciesSciName","Aphia_Code","FishLength_cm","Number","DensAbund_N_Sqkm","DensBiom_kg_Sqkm","DensAbund_N_Sqkm_RAW","CommonName","WalkerCoeffApplied"
"1","CSBBFraOT4/THA2/2003/101","CSBBFraOT4","THA2","OT","GOV",2003,11,13,1308,29,48.684,-9.2036,"2.60E+01","5",180,3.856706613,20,99,4.5,0.077134132,222.2222222,0.202020202,44.89337823,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",3,45.0792297000809,8.851682816,38.89328772,"Lesser spotted dogfish",TRUE
"2","CSBBFraOT4/THA2/2003/102","CSBBFraOT4","THA2","OT","GOV",2003,11,13,1544,30,48.9652,-9.1826,"2.60E+01","4",155,3.734581343,20,90,4.7,0.074691627,212.7659574,0.222222222,47.28132388,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",60,1147.56389631037,95.378620088,803.30289372,"Lesser spotted dogfish",TRUE
"3","CSBBFraOT4/THA2/2003/103","CSBBFraOT4","THA2","OT","GOV",2003,11,14,741,31,49.0901,-9.7446,"2.70E+01","4",158,3.496153771,20,98,4.5,0.069923075,222.2222222,0.204081633,45.35147392,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",37,881.96577429635,31.124338905,529.1529266,"Lesser spotted dogfish",TRUE
"4","CSBBFraOT4/THA2/2003/104","CSBBFraOT4","THA2","OT","GOV",2003,11,14,1310,30,49.333,-10.5144,"27D9","4",144,3.64776,20,95,4.6,0.0729552,217.3913,0.2105263,45.76659,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",4,83.3489379660633,5.9364521,54.82816,"Lesser spotted dogfish",TRUE
"5","CSBBFraOT4/THA2/2003/108","CSBBFraOT4","THA2","OT","GOV",2003,11,15,1353,30,49.5195,-10.8614,"28D9","5",159,3.581957,19,97,3.717063,0.06805718,269.0296,0.1958763,52.69652,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",32,715.792390347191,42.3702083,470.19285,"Lesser spotted dogfish",TRUE
"6","CSBBFraOT4/THA2/2003/109","CSBBFraOT4","THA2","OT","GOV",2003,11,15,1522,29,49.543,-10.7626,"28D9","4",149,3.529515,18,96,4.8,0.06353127,208.3333,0.1875,39.0625,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",45,962.455630097747,97.3925537,708.3126,"Lesser spotted dogfish",TRUE
"7","CSBBFraOT4/THA2/2003/110","CSBBFraOT4","THA2","OT","GOV",2003,11,16,748,31,49.7224,-10.5003,"28D9","4",136,3.491787,19,96,4.8,0.06634395,208.3333,0.1979167,41.23264,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",37,837.956379236363,55.9658393,557.69965,"Lesser spotted dogfish",TRUE
"8","CSBBFraOT4/THA2/2003/111","CSBBFraOT4","THA2","OT","GOV",2003,11,16,1005,29,49.9161,-10.5885,"28D9","4",146,3.603339,18,96,3.736534,0.0648601,267.6277,0.1875,50.18019,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",1,24.0894902224726,1.166749,15.4178,"Lesser spotted dogfish",TRUE
"9","CSBBFraOT4/THA2/2003/116","CSBBFraOT4","THA2","OT","GOV",2003,11,17,1626,30,50.7166,-10.7637,"30D9","5",166,3.710293,18,97,4.1,0.06678528,243.9024,0.185567,45.26025,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",1,18.9083592775205,2.453737,14.97336,"Lesser spotted dogfish",TRUE
"10","CSBBFraOT4/THA2/2003/117","CSBBFraOT4","THA2","OT","GOV",2003,11,18,755,31,50.2318,-10.4023,"29D9","4",142,3.827086,18,97,4.5,0.06888754,222.2222,0.185567,41.23711,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",1,22.1604665053225,1.223018,14.51641,"Lesser spotted dogfish",TRUE
"11","CSBBFraOT4/THA2/2003/118","CSBBFraOT4","THA2","OT","GOV",2003,11,18,1053,30,50.3396,-10.6313,"29D9","5",162,3.61523,19,98,4.5,0.06868938,222.2222,0.1938776,43.0839,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",55,1043.29395813123,132.8445947,800.70597,"Lesser spotted dogfish",TRUE
"12","CSBBFraOT4/THA2/2003/119","CSBBFraOT4","THA2","OT","GOV",2003,11,18,1412,31,50.4982,-10.0271,"29D9","4",140,3.480077,19,95,4.6,0.06612147,217.3913,0.2,43.47826,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",8,165.692970854428,18.316631,120.98944,"Lesser spotted dogfish",TRUE
"13","CSBBFraOT4/THA2/2003/120","CSBBFraOT4","THA2","OT","GOV",2003,11,18,1629,30,50.7467,-9.9512,"3.00E+01","4",118,3.603492,18,94,4.3,0.06486285,232.5581,0.1914894,44.53241,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",8,188.442574489147,12.1136362,123.3372,"Lesser spotted dogfish",TRUE
"14","CSBBFraOT4/THA2/2003/121","CSBBFraOT4","THA2","OT","GOV",2003,11,19,757,30,50.648,-9.6209,"3.00E+01","4",128,3.316693,18,96,4.7,0.05970047,212.766,0.1875,39.89362,"CSBBFraOT4","Scyliorhinus canicula",105814,"1-55",15,394.815815199979,21.1261317,251.25431,"Lesser spotted dogfish",TRUE
