"","ShootLong_degdec","ShootLat_degdec","Ship","HaulID"
"1",-9.1826,48.9652,"THA2","CSBBFraOT4/THA2/2003/102"
"2",-9.7446,49.0901,"THA2","CSBBFraOT4/THA2/2003/103"
"3",-10.5144,49.333,"THA2","CSBBFraOT4/THA2/2003/104"
"4",-10.7995,49.1018,"THA2","CSBBFraOT4/THA2/2003/105"
"5",-10.8614,49.5195,"THA2","CSBBFraOT4/THA2/2003/108"
"6",-10.7626,49.543,"THA2","CSBBFraOT4/THA2/2003/109"
"7",-10.5003,49.7224,"THA2","CSBBFraOT4/THA2/2003/110"
"8",-10.5885,49.9161,"THA2","CSBBFraOT4/THA2/2003/111"
"9",-10.7637,50.7166,"THA2","CSBBFraOT4/THA2/2003/116"
"10",-10.4023,50.2318,"THA2","CSBBFraOT4/THA2/2003/117"
"11",-10.0271,50.4982,"THA2","CSBBFraOT4/THA2/2003/119"
"12",-9.9512,50.7467,"THA2","CSBBFraOT4/THA2/2003/120"
"13",-9.6209,50.648,"THA2","CSBBFraOT4/THA2/2003/121"
"14",-9.355,50.4814,"THA2","CSBBFraOT4/THA2/2003/122"
"15",-8.5799,50.4093,"THA2","CSBBFraOT4/THA2/2003/123"
"16",-8.6346,50.5087,"THA2","CSBBFraOT4/THA2/2003/124"
"17",-9.4691,51.2519,"THA2","CSBBFraOT4/THA2/2003/125"
"18",-8.9444,51.1407,"THA2","CSBBFraOT4/THA2/2003/126"
"19",-8.3608,51.5232,"THA2","CSBBFraOT4/THA2/2003/127"
"20",-8.0297,51.689,"THA2","CSBBFraOT4/THA2/2003/128"
"21",-7.4424,51.6227,"THA2","CSBBFraOT4/THA2/2003/130"
"22",-6.703,51.7836,"THA2","CSBBFraOT4/THA2/2003/131"
"23",-6.5384,51.7788,"THA2","CSBBFraOT4/THA2/2003/132"
"24",-6.5531,51.26,"THA2","CSBBFraOT4/THA2/2003/134"
"25",-5.1415,51.0967,"THA2","CSBBFraOT4/THA2/2003/138"
"26",-7.2117,49.905,"THA2","CSBBFraOT4/THA2/2003/145"
"27",-8.4119,50.7545,"THA2","CSBBFraOT4/THA2/2003/149"
"28",-9.7088,50.1368,"THA2","CSBBFraOT4/THA2/2003/150"
"29",-9.4582,49.9368,"THA2","CSBBFraOT4/THA2/2003/151"
"30",-9.5503,49.7687,"THA2","CSBBFraOT4/THA2/2003/152"
"31",-9.1666,49.966,"THA2","CSBBFraOT4/THA2/2003/153"
"32",-8.3082,49.5636,"THA2","CSBBFraOT4/THA2/2003/156"
